芸名,読み仮名,誕生日,出身地,出身校,芸名の由来,愛称,役柄,退団年,備考
香久美 ひかる,かくみ ひかる,2月16日,,ウヰルミナ女学校高等女学部,,,,1940年,俳優・芦田伸介夫人
東郷 晴子,とうごう はるこ,3月15日,東京都,桜蔭高等女学校,,ハコちゃん,娘役,1955年,俳優
仁保海 月子,にほみ つきこ,4月20日,大阪府大阪市,梅花高等女学校,,オバァちゃん,男役,1944年,俳優・吉川雅恵
草岡 由美,くさおか ゆみ,,東京都,,,,,1945年,
高松 貴美子,たかまつ きみこ,,,,,,,1944年,
霧原 なつみ,きりはら なつみ,,,東京府立第五高等女学校,,,,1942年,改名後・霧原なつ子（きりはら なつこ）
美輪 公子,みわ きみこ,,大阪市,,,,,1945年,
千成 ひさご,ちなり ひさご,11月25日,東京都,滝野川村立第二尋常小学校,,,,1942年,
嵯山 都,さやま みやこ,,大阪市,,,,,1944年,
角笛 こだま,つのぶえ こだま,,神奈川県横浜市,,,,,1940年,
菫 千咲,すみれ ちさき,,東京都,,,,,1940年,
吹上 みさを,ふきあげ みさを,,兵庫県神戸市,,,,,1940年,
信貴 多美路,しき たみじ,,神奈川県,,,,,1944年,
美鳥 ひろ,みとり ひろ,,,長崎県立大村高等女学校,,,,1944年,
緑島 なみ,みどりしま なみ,,,実践高等女学校,,,,1944年,姉は司百合奈
日出国 瑞穂,ひでくに みずほ,,,,,,,1944年,
山吹 八重子,やまぶき やえこ,,神戸市,,,,,1940年,
澄川 玲子,すみかわ れいこ,,,,,,,1945年,
港 黎子,みなと れいこ,,東京都,,,,,1940年,
四季 妙子,しき たえこ,,福岡県,,,,,1941年,
葦城 まこと,あじろ まこと,6月13日,大阪府大阪市,大手前高等女学校,,しもさん,,1953年,
峰乃 紅葉,みねの もみじ,,,,,,,1940年,
霞 千恵子,かすみ ちえこ,3月29日,,,,,,1943年,姉は玉川清子・槇蓉子姪は尚すみれ
山路 すみれ,やまじ すみれ,,,東京府立第一高等女学校,,,,1941年,
匂 千里,におい ちさと,,大阪市,,,,,1945年,
花乃 香保里,はなの かおり,,,,,,,1940年,
月丘 夢路,つきおか ゆめじ,10月14日,広島県広島市中区,広島県立広島高等女学校,,ツメ,娘役,1943年,俳優映画監督・井上梅次夫人実娘は井上絵美実妹は月丘千秋・月丘洋子
遠山 美乃里,とおやま みのり,,,京都府立綾部高等女学校,,,娘役,1945年,
双葉 弘子,ふたば ひろこ,,神戸市,,,,,1943年,俳優
高立 葵,たかだち あおい,,,横浜英和女学校,,,,1944年,
加茂 みやじ,かも みやじ,,大阪市,,,,,1944年,モデル「ケイ・エフ・ジー」取締役会長
星空 光子,ほしぞら みつこ,,神奈川県,,,,,1940年,
木船 三緒子,きぶね みおこ,,ウラジオストック,,,,,1944年,
珠智 浩子,たまとも ひろこ,,東京都,,,,,1940年,
安藝 みさヽ,あき みささ,,神戸市,,,,,1944年,
對馬 衣郁美,つしま いつみ,,,,,西岡さん,,1950年,俳優・美川陽一郎夫人
東路 美代子,あずまじ みよこ,,東京都,,,,,1948年,
