芸名,読み仮名,誕生日,出身地,出身校,身長,愛称,役柄,配属,退団年,備考
美園さくら,みその さくら,6月17日,東京都江戸川区,大妻高校,164㎝,えみち、えみたん,娘役,月組,2021年,従妹は詩花すず
諏訪さき,すわ さき,10月3日,京都府京都市,ノートルダム女学院高校,172㎝,さっきー,男役,雪組,,母は諏訪アイ
華妃まいあ,はなき まいあ,9月17日,兵庫県伊丹市,市立東中学,164㎝,れいな、もりれー,娘役,宙組,2019年,
希峰かなた,きほう かなた,9月21日,神奈川県藤沢市,県立鎌倉高校,172㎝,YUI、ゆいち,男役,宙組,,
小桜ほのか,こざくら ほのか,5月6日,東京都豊島区,日本女子大学附属高校,162㎝,ほの,娘役,星組,,
亜蓮冬馬,あれん とうま,9月9日,神奈川県茅ヶ崎市,湘南白百合学園中学,175㎝,ANRI、あれん,男役,花組,2018年,
澄風なぎ,すみかぜ なぎ,4月22日,東京都北区,日本女子大学附属高校,167㎝,たっく、なぎ,男役,宙組,,
天路そら,あまじ そら,5月15日,熊本県天草市,県立天草高校,167㎝,まなつ,男役,星組,,
若草萌香,わかくさ もえか,11月4日,奈良県生駒市,大阪女学院高校,161㎝,リリ、でぃでぃ,娘役,花組,,
遥斗勇帆,はると ゆうほ,5月15日,愛知県名古屋市,中京大学附属中京高校,175㎝,ゆうほ,男役,星組,,
月華雪乃,つきはな ゆきの,12月30日,埼玉県さいたま市,浦和第一女子高校,160㎝,まりもり,娘役,雪組,2015年,
彩みちる,いろどり みちる,10月19日,東京都目黒区,洗足学園高校,163㎝,うめ,娘役,雪組→月組,,
舞雛かのん,まいひな かのん,6月1日,群馬県太田市,常磐高校,162㎝,みーほ,娘役,月組,2016年,
姫歌ひな乃,ひめか ひなの,6月6日,東京都清瀬市,都立井草高校,162㎝,ひめか、ひぃ,娘役,花組,2015年,父は笘篠誠治
若翔りつ,わかと りつ,9月6日,愛知県犬山市,県立江南高校,174㎝,りっつ、りっちゃん,男役,宙組,,
輝生かなで,きお かなで,4月24日,茨城県東茨城郡,智学館中等教育学校,170㎝,あち,男役,月組,2019年,
野々花ひまり,ののか ひまり,1月18日,福岡県福岡市,中村学園女子高校,164㎝,すぅ、のん,娘役,雪組,,
高峰潤,たかみね じゅん,5月25日,兵庫県神戸市,神戸山手女子高校,171.7㎝,じゅん、ちぃ,男役,花組,,
英かおと,はなぶさ かおと,10月28日,岡山県倉敷市,県立倉敷古城池高校,172㎝,うー,男役,月組,,
陽向春輝,ひなた はるき,6月22日,東京都目黒区,八雲学園高校,169㎝,だいちゃん、はるき,男役,雪組,2019年,
凛乃しづか,りんの しづか,5月18日,兵庫県宝塚市,県立宝塚高校,164㎝,あの,娘役,花組,,
桜良花嵐,さくらら からん,5月25日,愛知県名古屋市,南山高校女子部,163㎝,たま,娘役,宙組→雪組,2018年,
ひいな凜,ひいな りん,3月22日,兵庫県神戸市,神戸松蔭中学,158㎝,ひいな、りん、ぴーな,娘役,月組,2016年,
蒼舞咲歩,そうぶ さきほ,11月8日,佐賀県佐賀市,市立大和中学,170㎝,サキッポ,男役,星組,,妹は亜音有星
七星美妃,ななせ みき,5月30日,兵庫県神戸市,神戸松蔭高校,164㎝,みき,娘役,星組,,
瑞希めい,みずき めい,8月27日,福岡県福岡市,市立宮竹中学,163㎝,めい、アユミ,娘役,宙組,2015年,
帆純まひろ,ほずみ まひろ,3月15日,兵庫県西宮市,市立甲陵中学,170㎝,せの、かぽ,男役,花組,,
咲翔みなき,さくと みなき,4月21日,北海道札幌市,藤女子高校,173㎝,ぱる,男役,宙組,2016年,
陽海ありさ,ひうみ ありさ,3月4日,大阪府東大阪市,プール学院高校,162㎝,にしこ、ARISA,娘役,月組,2019年,
天瀬はつひ,あませ はつひ,1月1日,栃木県佐野市,國學院栃木高校,166㎝,せきやん、はつひ,娘役,宙組,2020年,
天乃きよら,あまの きよら,5月28日,兵庫県明石市,武庫川女子大学附属高校,161㎝,にっきー,娘役,星組,2017年,
朝陽つばさ,あさひ つばさ,5月30日,群馬県前橋市,東京農業大学第二高校,169㎝,あさひ、バズ,男役,月組,,
春矢祐璃,はるや ゆうり,4月25日,香川県仲多度郡,県立丸亀高校,170㎝,みっぱ、みはる,男役,花組,,
隼玲央,はやと れお,4月11日,兵庫県芦屋市,雲雀丘学園高校,172㎝,アンちゃん,男役,星組,2021年,
万名月洸,まなづき こう,10月16日,東京都杉並区,日本女子大学附属中学,175㎝,マナティー、こう,男役,雪組,2015年,
璃央じゅん,りおう じゅん,4月10日,三重県鈴鹿市,鈴鹿高校,178㎝,わかな,男役,雪組,2016年,
桜里まお,おうり まお,9月29日,福岡県小郡市,福岡雙葉高校,164.5㎝,あすか,娘役,星組,2021年,
