芸名,読み仮名,誕生日,出身地,出身校,芸名の由来,愛称,役柄,退団年,備考
櫻町公子,さくらまち きみこ,10月10日,東京府東京市芝区（現・東京都港区）,東洋英和女学院,父親の知人である詩人・北原白秋が命名,ちんないチフちゃん,娘役,1944年,俳優
照國佐智子,てるくに さちこ,12月24日,大阪府,帝塚山学院女学部,,チャッチャン小島さん天井,,1949年,改名後・照國早智子（てるくに さちこ）
昇道子,のぼる みちこ,4月15日,大阪府大阪市,神戸女学院,明治天皇の御製「大空に聳えて見ゆる高嶺にも登れば登る道はありけり」,ミッちゃん,男役,1940年,妹は高嶺とき子
花乃井千草,はなのい ちぐさ,4月17日,兵庫県姫路市,,母校内にある史蹟・此花乃井の通称と紅千鶴の千と種と書いて「くさ」と読む絵画,,娘役,1939年,妹は空小鳥
朝海登代子,あさみ とよこ,,,,1933年（昭和8年）の歌御会始の勅題「朝海」に因んで父親が命名,,,1937年,改名後・朝海登世子（あさみ とよこ）
淀七瀨,よど ななせ,1月10日,愛知県名古屋市,,,コウリャン髭,,1940年,
海原千里,うなばら ちさと,6月30日,兵庫県神戸市,甲南高等女学校,和漢吟詠集から姉と選択,ドンちゃん,娘役,1941年,
時雨明代,しぐれ あきよ,,,,,,,1934年,
山葉まさ江,やまは まさえ,7月14日,兵庫県宝塚市,,,ヤーモッちゃん,,1940年,
高城淑子,たかしろ よしこ,2月14日,兵庫県神戸市,,,,,1939年,
花若かつみ,はなわか かつみ,,,,,,,1935年,
花水歌路,はなみず うたじ,,,,,,,1935年,
加賀松乃,かが まつの,2月11日,大阪府,プール学院,,モトメちゃん聖徳太子,娘役,1944年,女優・加賀元女
松帆富子,まつほ とみこ,,,,,,,1933年,
若葉繁,わかば しげる,,,,,カズラダンゴカンちゃん,,1936年,1936年5月1日、在団中に逝去/姉は桜緋紗子/妹は旭映子
住吉良子,すみよし りょうこ,3月7日,兵庫県神戸市,,,カメちゃん,,1945年,
清原伊久子,きよはら いくこ,12月2日,,,,,,1939年,
松原三保子,まつばら みほこ,,,,,おちび萬年ちび,,1937年,
松藻さつき,まつも さつき,9月20日,,,自分で考案,,,1936年,
櫻野里子,さくらの さとこ,3月1日,,,,オセキちゃん,,1941年,
岩戸照子,いわど てるこ,,,,,,,1934年,
松島喜美子,まつしま きみこ,9月6日,兵庫県神戸市,神戸女学院,父親の出生地と父親の名を慕う名前の組み合わせ,コイケちゃん,娘役,1940年,
若竹操,わかたけ みさお,3月28日,福岡県,福岡高等女学校,,てるちゃんヒラーコテイさんオヒラ,娘役,1942年,
牧藤尾,まき ふじお,3月30日,兵庫県神戸市,兵庫県立第二神戸高等女学校,,かつさんおすましさん,男役,1941年,改名後・牧ちとせ（まき ちとせ）
明海陽子,あけみ ようこ,2月6日,北海道日高郡新ひだか町,北星高等女学校,1933年（昭和8年）の歌御会始の勅題「朝海」に因んで自分で考案,イナちゃん/シゲちゃん//白熊,男役,1939年,
相良昌代,さがら まさよ,8月18日,東京都,,,おせいちゃん,男役,1941年,
名村志都子,なむら しづこ,,,,,チンクシャ,,1934年,
渚千鳥,なぎさ ちどり,,,,,,,1934年,
大殿みやび,おおとの みやび,6月21日,大阪府堺市,堺高等女学校,源氏物語,うけちゃん/詩話薔薇,男役,1938年,
芝惠美子,しば えみこ,10月25日,島根県隠岐郡,,唄が上手くなる様に上級生の橘薫の愛称,なべちゃん/われなべ/ナベコ,娘役,1941年,改名後・芝惠津子（しば えつこ）
月岡康子,つきおか やすこ,,台湾,,,やっちゃん/臺灣坊主,,1936年,
六原いづみ,ろくはら いづみ,1月2日,岡山県,,出身学校名と引田一郎が命名した名前の組み合わせ,,,1940年,
眞山伊那子,まやま いなこ,,,,,,,1934年,
花影絹子,はなかげ きぬこ,10月4日,,大阪市立櫻宮高等女学校,戸田子爵家の人が命名,カイちゃん,男役,1943年,改名後・英みのる（はなぶさ みのる）
美吉佐久子,みよし さくこ,8月31日,兵庫県神戸市,神戸市兵庫尋常小学校,古今集,ウマちゃん/ハルウマさん,男役,1979年,改名後・美吉左久子（みよし さくこ）/宝塚歌劇団演技講師
歌垣つくば,うたがき つくば,,,,,金魚さん,,1934年,
大庭梅香,おおば うめか,12月12日,大阪府,,,,,1941年,
春江ふかみ,はるえ ふかみ,1月30日,兵庫県,,,オバアチャン,娘役,1946年,俳優
山部志賀子,やまべ しかこ,10月19日,,,,グリコ,娘役,1947年,
