芸名,読み仮名,誕生日,出身地,出身校,身長,愛称,役柄,配属,退団年,備考
礼真琴,れい まこと,12月2日,東京都江戸川区,東海大学附属浦安高校,170㎝,COTO,男役,星組,,
ひろ香祐,ひろか ゆう,9月24日,愛知県名古屋市,愛知工業大学附属中学,172㎝,こりん,男役,星組,,
水美舞斗,みなみ まいと,6月28日,大阪府寝屋川市,大阪国際大和田中学,169㎝,みなみ、マイティー,男役,花組,,
実咲凜音,みさき りおん,7月5日,兵庫県神戸市,県立須磨友が丘高校,163㎝,りおん、くみ,娘役,花組→宙組,2017年,
妃海風,ひなみ ふう,4月12日,大阪府吹田市,北千里高校,164㎝,ゆうか,娘役,星組,2016年,
晴音アキ,はるね あき,10月19日,東京都世田谷区,東洋英和女学院高等部,162㎝,はるの、ぱる,娘役,月組,,
愛すみれ,あい すみれ,3月17日,大阪府豊能郡,梅花中学,165㎝,あり、あいみ,娘役,雪組,,
彩花まり,あやか まり,1月26日,東京都板橋区,聖心女子学院高等科,164㎝,しおり、しーちゃん,娘役,宙組,2017年,
花瑛ちほ,はなえ ちほ,11月17日,千葉県千葉市,私立日出学園高校,160㎝,ひーちゃん、ちほ,娘役,雪組,2015年,
涼華まや,すずか まや,8月18日,兵庫県神戸市,クレスキル・ハイスクール,161㎝,Maya、すず,娘役,宙組,2017年,
桜路薫,おうじ かおる,3月20日,兵庫県西宮市,市立西宮高校,169㎝,なお、なおぽん、OUJI,男役,雪組,,
桜木みなと,さくらぎ みなと,12月27日,神奈川県横浜市,神奈川総合高校,170㎝,ずん,男役,宙組,,
楓ゆき,かえで ゆき,2月21日,茨城県日立市,日立第二高校,160㎝,たん、たんこ,娘役,月組,2021年,
愛希れいか,まなき れいか,8月21日,福井県坂井市,坂井中学,167㎝,あさぴ、ちゃぴ,男役→娘役,月組,2018年,
紫りら,むらさき りら,11月6日,青森県三沢市,三沢市立第一中学,158㎝,ピヨピヨ、りら,娘役,星組,,
実羚淳,みれい じゅん,9月16日,兵庫県宝塚市,兵庫県立宝塚北高校,173㎝,ゆいちぃ,男役,宙組,2020年,
月城かなと,つきしろ かなと,12月31日,神奈川県横浜市,田園調布学園高等部,172㎝,れいこ,男役,雪組→月組,,
真鳳つぐみ,まほう つぐみ,1月7日,東京都中野区,関東国際高校,162㎝,しょみ,娘役,花組,2022年,
真みや涼子,まみや りょうこ,8月22日,神奈川県横浜市,横浜山手女子高校,165㎝,かじ,娘役,宙組,2016年,
柚香光,ゆずか れい,3月5日,東京都杉並区,杉並区立和泉中学,169㎝,れい、れーやん、レイコン,男役,花組,,
輝月ゆうま,きづき ゆうま,9月6日,兵庫県神戸市,甲南女子高校,177㎝,まゆぽん、ゆうま,男役,月組→専科,,
七生眞希,ななお まき,11月15日,東京都稲城市,日本女子大学附属高校,169㎝,まりな,男役,宙組,2021年,
星乃あんり,ほしの あんり,9月8日,福岡県福岡市,中村学園女子高校,160㎝,ひろこ、ぴのこ,娘役,雪組,2017年,妹は春妃うらら
朝美絢,あさみ じゅん,11月6日,神奈川県鎌倉市,清泉女学院,169㎝,あさみ、あーさ,男役,月組→雪組,,
愛羽ふぶき,あいは ふぶき,10月28日,埼玉県比企郡,東京農業大学第三高校,168㎝,トミオ,男役,花組,2012年,母は真笛ひびき
凰津りさ,おうつ りさ,4月16日,富山県富山市,県立呉羽高校,172㎝,LISA,男役,星組,2014年,
こと華千乃,ことか ちの,7月7日,大阪府豊中市,聖母被昇天学院高校,159㎝,ちの、ちーの,娘役,花組,2013年,
天月翼,あまつき つばさ,12月7日,埼玉県さいたま市,東京家政大学附属女子高校,169㎝,あまつき、かほり,男役,雪組,,
伶美うらら,れいみ うらら,5月30日,大阪府大阪市,清水谷高校,164.5㎝,ゆーり,娘役,宙組,2017年,
早桃さつき,さもも さつき,5月17日,東京都江東区,富士見丘高校,159㎝,さもも、さち,娘役,月組,2018年,
美里夢乃,みさと ゆめの,3月10日,鹿児島県鹿児島市,鹿児島県立武岡台高校,162㎝,みっこ、ミッキー,娘役,月組,2017年,
白峰ゆり,しらみね ゆり,1月1日,滋賀県大津市,東大津高校,163㎝,うき,娘役,雪組,,
朝央れん,あさお れん,2月11日,東京都稲城市,田園調布学園高等部,177㎝,ゆうこ、れん,男役,宙組,2018年,
妃桜ほのり,ひざくら ほのり,1月25日,東京都北区,私立星美学園中学,164㎝,ほのり,娘役,雪組,2016年,
和城るな,かずしろ るな,8月16日,大阪府守口市,大阪市立扇町総合高校,168㎝,プチ、LUNA,男役,雪組,2016年,
逢月あかり,おうづき あかり,12月14日,東京都世田谷区,吉祥女子高校,160㎝,あかり,娘役,星組,2015年,
美蘭レンナ,みらん れんな,12月23日,大阪府大阪市,帝塚山学院高校,164.5㎝,みみたん,娘役,花組,2014年,姉は天輝トニカ、煌海ルイセ
雪華さくら,ゆきはな さくら,7月25日,熊本県熊本市,市立必由館高校,160㎝,さく、SAKI,娘役,花組,2012年,
真衣ひなの,まい ひなの,3月3日,滋賀県草津市,市立草津中学,162㎝,ひなの,娘役,星組,2016年,
瀬央ゆりあ,せお ゆりあ,6月15日,広島県広島市,広島女学院高校,172㎝,なおみん,男役,星組,,
麗奈ゆう,れいな ゆう,11月29日,栃木県足利市,佐野日本大学中学,172㎝,みっちぇる、MICCHI,男役,月組,2012年,
優ひかる,ゆう ひかる,7月16日,山梨県甲州市,山梨英和中学,169㎝,ひかる、ジュジュ,男役,月組,2018年,
留美絢,るみ じゅん,11月15日,福岡県福岡市,福岡県立修猷館高校,169㎝,エンディ,男役,宙組,2015年,
蓮珠こうき,れんじゅ こうき,6月14日,東京都東村山市,都立久留米西高校,173㎝,まっとぅー、まっちゅ,男役,星組,2012年,
萌吹まほろ,もえぶき まほろ,11月19日,千葉県松戸市,私立潤徳女子高校,170㎝,まほろ、もえだ,男役,――,2009年,初舞台を休演、復帰しないまま退団
